SIT_MATRICULA,PAI_FALECIDO,MAE_FALECIDO,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,COD_ESTADO_CIVIL,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,DESC_ESTADO,DESC_IDIOMA,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,NOTAS,N_FALTAS,COD_DISCIPLINA,CARGA_HOR,ANO_INGRESSO,IDADE_INGRESSO
4,0.0,0.0,0.0,P,2013.0,10.0,S,0.0,M,Estudante,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2014,18.0
20,0.0,0.0,,E,2012.0,,,,M,,Goiânia,Goiás,,,,,,0.00,66.0,648,54,2014,19.0
0,0.0,0.0,,P,2013.0,,,,M,,Ceres,Goiás,,,,,,10.00,0.0,648,54,2014,18.0
20,0.0,0.0,,E,2012.0,,,,M,,Goiânia,Goiás,,,,,,0.00,0.0,648,54,2014,19.0
2,0.0,0.0,0.0,P,2007.0,10.0,S,0.0,M,,Goiânia,Goiás,Inglês,1.0,2.0,2.0,2.0,6.00,0.0,648,54,2014,25.0
9,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,M,,Goiânia,Goiás,Inglês,1.0,1.0,1.0,1.0,0.00,70.0,648,54,2014,18.0
9,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,M,,Goiânia,Goiás,Espanhol,1.0,1.0,1.0,2.0,0.00,70.0,648,54,2014,18.0
0,0.0,0.0,0.0,O,2013.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,7.00,0.0,648,54,2014,18.0
0,0.0,0.0,0.0,E,2013.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,10.00,0.0,648,54,2014,18.0
9,0.0,0.0,0.0,P,2012.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,0.00,70.0,648,54,2014,19.0
0,0.0,0.0,0.0,P,2012.0,10.0,,0.0,M,,Goiânia,Goiás,Inglês,3.0,3.0,2.0,3.0,0.00,0.0,648,54,2014,18.0
0,0.0,0.0,0.0,P,2012.0,10.0,,0.0,M,,Goiânia,Goiás,Inglês,3.0,3.0,2.0,3.0,6.00,0.0,648,54,2014,18.0
9,0.0,0.0,0.0,E,2013.0,10.0,,0.0,M,,Senador Canedo,Goiás,,,,,,0.00,66.0,648,54,2014,22.0
4,0.0,0.0,0.0,P,2013.0,10.0,,0.0,M,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,3.0,6.00,0.0,648,54,2014,17.0
10,0.0,0.0,0.0,P,2012.0,10.0,,0.0,M,,Aparecida de Goiânia,Goiás,,,,,,6.00,0.0,648,54,2013,18.0
0,0.0,0.0,0.0,E,2008.0,10.0,,0.0,M,,Aparecida de Goiânia,Goiás,Inglês,1.0,1.0,1.0,1.0,6.00,0.0,648,54,2013,23.0
9,0.0,0.0,0.0,P,2012.0,10.0,,0.0,M,,Goiânia,Goiás,Inglês,3.0,3.0,3.0,3.0,6.00,0.0,648,54,2013,18.0
9,0.0,0.0,0.0,P,2012.0,10.0,,0.0,M,,Goiânia,Goiás,Espanhol,1.0,2.0,1.0,2.0,6.00,0.0,648,54,2013,18.0
0,0.0,0.0,0.0,P,2012.0,10.0,S,0.0,M,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2013,18.0
10,0.0,0.0,0.0,E,2002.0,10.0,S,0.0,F,Estudante,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2013,29.0
0,0.0,0.0,0.0,P,2012.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2013,19.0
10,0.0,0.0,0.0,E,2012.0,10.0,S,,M,,Aparecida de Goiânia,Goiás,,,,,,6.00,0.0,648,54,2013,18.0
20,0.0,0.0,0.0,E,2011.0,10.0,S,,M,,Goiânia,Goiás,,,,,,0.00,70.0,648,54,2013,19.0
20,0.0,0.0,0.0,E,2011.0,10.0,S,,M,,Goiânia,Goiás,,,,,,0.00,0.0,648,54,2013,19.0
20,0.0,0.0,0.0,E,2011.0,10.0,S,,M,,Goiânia,Goiás,,,,,,0.00,0.0,648,54,2013,19.0
9,0.0,0.0,0.0,E,2010.0,2.0,S,0.0,M,Estudante,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2013,20.0
0,0.0,0.0,0.0,E,2012.0,10.0,S,,M,,Goiânia,Goiás,Inglês,2.0,3.0,3.0,3.0,6.00,0.0,648,54,2013,18.0
0,0.0,0.0,0.0,E,2012.0,10.0,S,,M,,Goiânia,Goiás,Espanhol,1.0,2.0,2.0,3.0,6.00,0.0,648,54,2013,18.0
0,0.0,0.0,0.0,P,2013.0,10.0,S,,M,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,0.00,56.0,648,54,2013,21.0
0,0.0,0.0,0.0,P,2013.0,10.0,S,,M,,Goiânia,Goiás,Francês,2.0,2.0,2.0,2.0,0.00,56.0,648,54,2013,21.0
0,0.0,0.0,0.0,P,2013.0,10.0,S,,M,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,0.00,22.0,648,54,2013,21.0
0,0.0,0.0,0.0,P,2013.0,10.0,S,,M,,Goiânia,Goiás,Francês,2.0,2.0,2.0,2.0,0.00,22.0,648,54,2013,21.0
0,0.0,0.0,0.0,P,2013.0,10.0,S,,M,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,0.00,0.0,648,54,2013,21.0
0,0.0,0.0,0.0,P,2013.0,10.0,S,,M,,Goiânia,Goiás,Francês,2.0,2.0,2.0,2.0,0.00,0.0,648,54,2013,21.0
0,0.0,0.0,0.0,E,2004.0,10.0,S,,M,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2013,26.0
